NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
485,"Transit and Ground Passenger Transportation",47.7623951754,49.9919585248,2.22956334937,0.046680308665,0.00360525787717,0.00181944090053
812,"Personal and Laundry Services",45.193084621,48.3197585655,3.12667394453,0.0691847872468,0.00341131812434,0.000451223863624
512,"Motion Picture and Sound Recording Industries",43.9877992488,40.334228968,-3.65357028077,-0.0830587195349,0.00332033934142,0.000342359433968
516,"Broadcasting and Content Providers",43.2570281817,47.1909164093,3.9338882276,0.0909421750166,0.00326517841123,0.00133329516437
331,"Primary Metal Manufacturing",40.294486216,33.7738739719,-6.52061224413,-0.16182393316,0.00304155629766,0.00792863770526
327,"Nonmetallic Mineral Product Manufacturing",34.7611364619,34.7287491402,-0.0323873216642,-0.000931710667738,0.00262388141525,0.00497993634215
322,"Paper Manufacturing",34.687074315,30.7380423758,-3.94903193914,-0.113847362948,0.00261829096826,0.00555768189867
722,"Food Services and Drinking Places",34.19284087,38.9587307495,4.76588987948,0.139382682404,0.00258098465198,8.46110323796E-5
492,"Couriers and Messengers",33.2861924179,34.12063465,0.834442232055,0.0250687198337,0.00251254793599,0.00077392366428
444,"Building Material and Garden Equipment and Supplies Dealers",28.5675817299,28.5074364867,-0.0601452432365,-0.00210536697874,0.00215637215607,0.00108735218297
425,"Wholesale Electronic Markets and Agents and Brokers",25.1750153045,19.3762862847,-5.79872901979,-0.230336663142,0.00190029042516,0.00262029593566
335,"Electrical Equipment, Appliance, and Component Manufacturing",24.1849080764,20.8300110942,-3.3548969822,-0.138718616238,0.00182555397465,0.00359338167412
457,"Gasoline Stations and Fuel Dealers",23.9313844472,22.2306973281,-1.70068711911,-0.0710651371992,0.00180641720276,0.00173843207899
312,"Beverage and Tobacco Product Manufacturing",23.290485669,27.4221819893,4.13169632034,0.177398461289,0.00175804011949,0.00318518207944
