NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
115,"Support Activities for Agriculture and Forestry",12.1310422566,10.2295693747,-1.90147288188,-0.156744395219,0.000258056069281,0.00963044614575
482,"Rail Transportation",10.8800790203,9.84856846691,-1.03151055339,-0.0948072666995,0.000231445111315,0.0053962972857
316,"Leather and Allied Product Manufacturing",10.5692374405,5.91608729836,-4.65315014212,-0.440254102372,0.000224832772939,0.00727365630035
487,"Scenic and Sightseeing Transportation",10.0471050767,9.36087444311,-0.686230633637,-0.0683013294273,0.00021372577796,0.0132300828549
213,"Support Activities for Mining",10.0436933313,8.50463085403,-1.5390624773,-0.153236705515,0.000213653202035,0.00934675206735
111,"Crop Production",9.87736707973,9.26405819013,-0.613308889596,-0.0620923455254,0.000210115047786,0.00255080895689
999,"Unclassified Industry",8.30264677206,0.33866233943,-7.96398443263,-0.959210315851,0.000176617008276,0.0112961180572
533,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",8.01407519688,5.66901835722,-2.34505683966,-0.292617274239,0.00017047840577,0.0143431848312
521,"Monetary Authorities-Central Bank",4.18450194418,2.95633864151,-1.22816330268,-0.293502863438,8.90142908396E-5,0.0120831870139
486,"Pipeline Transportation",3.19118475022,3.23741365062,0.0462289003962,0.0144864381146,6.78840758752E-5,0.00439465312044
491,"Postal Service",3.08890426256,3.10408720249,0.0151829399232,0.00491531579893,6.57083270771E-5,0.00770636475443
211,"Oil and Gas Extraction",2.45399930327,0.861957751532,-1.59204155173,-0.648753872756,5.22023912558E-5,0.0111308326562
814,"Private Households",1.98299101865,1.78179249557,-0.20119852308,-0.101462145409,4.21829268145E-5,1.83701401374E-5
212,"Mining (except Oil and Gas)",1.64728106796,1.49848784283,-0.148793225127,-0.0903265556929,3.50415791493E-5,0.00412852239686
113,"Forestry and Logging",1.2384446485,1.29670140854,0.0582567600414,0.0470402614378,2.63446578829E-5,0.0188706002353
114,"Fishing, Hunting and Trapping",0.0631908366542,0.0729713868433,0.00978055018912,0.154777982172,1.34421911792E-6,0.000505852851895
112,"Animal Production and Aquaculture",0,0,0,0,0,0
